"kitten_id","litter_id","mother","birth_year","birth_month","birth_day","sex","litter_sex_ratio","litter_size","lifestyle","humans_in_household","cats_in_household","dog_in_household"
1,1,"Nanook",2016,4,12,"male",0.33,3,"indoor_outdoor","two_or_more","single_cat","yes"
2,1,"Nanook",2016,4,12,"male",0.33,3,"indoor_outdoor","two_or_more","multi_cat","no"
3,1,"Nanook",2016,4,12,"female",0.33,3,NA,NA,NA,NA
4,3,"Pulchi",2016,4,14,"male",0.25,4,"indoor_outdoor","two_or_more","multi_cat","no"
5,3,"Pulchi",2016,4,14,"male",0.25,4,NA,NA,NA,NA
6,3,"Pulchi",2016,4,14,"female",0.25,4,"indoor","one","multi_cat","no"
7,3,"Pulchi",2016,4,14,"male",0.25,4,NA,NA,NA,NA
8,2,"Pinky",2016,4,19,"female",0.57,7,"indoor_outdoor","two_or_more","single_cat","yes"
9,2,"Pinky",2016,4,19,"female",0.57,7,"indoor","two_or_more","multi_cat","no"
10,2,"Pinky",2016,4,19,"male",0.57,7,NA,NA,NA,NA
11,2,"Pinky",2016,4,19,"female",0.57,7,"indoor","one","multi_cat","no"
12,2,"Pinky",2016,4,19,"male",0.57,7,"indoor","one","multi_cat","no"
13,2,"Pinky",2016,4,19,"male",0.57,7,"indoor_outdoor","two_or_more","single_cat","yes"
14,2,"Pinky",2016,4,19,"female",0.57,7,NA,NA,NA,NA
15,4,"Nanook",2016,8,12,"male",0.33,6,"indoor","two_or_more","multi_cat","no"
16,4,"Nanook",2016,8,12,"male",0.33,6,NA,NA,NA,NA
17,4,"Nanook",2016,8,12,"male",0.33,6,"indoor","two_or_more","multi_cat","no"
18,4,"Nanook",2016,8,12,"female",0.33,6,"indoor","two_or_more","single_cat","no"
19,4,"Nanook",2016,8,12,"male",0.33,6,NA,NA,NA,NA
20,4,"Nanook",2016,8,12,"female",0.33,6,"indoor_outdoor","two_or_more","single_cat","no"
21,5,"Pulchi",2016,8,18,"male",0.25,4,NA,NA,NA,NA
22,5,"Pulchi",2016,8,18,"female",0.25,4,NA,NA,NA,NA
23,5,"Pulchi",2016,8,18,"male",0.25,4,NA,NA,NA,NA
24,5,"Pulchi",2016,8,18,"male",0.25,4,NA,NA,NA,NA
25,6,"Pinky",2016,8,21,"male",0.57,7,NA,NA,NA,NA
26,6,"Pinky",2016,8,21,"male",0.57,7,NA,NA,NA,NA
27,6,"Pinky",2016,8,21,"female",0.57,7,"indoor_outdoor","one","multi_cat","no"
28,6,"Pinky",2016,8,21,"female",0.57,7,"indoor","two_or_more","single_cat","no"
29,6,"Pinky",2016,8,21,"male",0.57,7,"indoor_outdoor","one","single_cat","yes"
30,6,"Pinky",2016,8,21,"female",0.57,7,NA,NA,NA,NA
31,6,"Pinky",2016,8,21,"female",0.57,7,"indoor","two_or_more","multi_cat","no"
32,7,"Nanook",2016,12,26,"male",0.5,4,"indoor","two_or_more","multi_cat","no"
33,7,"Nanook",2016,12,26,"male",0.5,4,"indoor","two_or_more","multi_cat","no"
34,7,"Nanook",2016,12,26,"female",0.5,4,"indoor","two_or_more","multi_cat","no"
35,7,"Nanook",2016,12,26,"female",0.5,4,"indoor_outdoor","two_or_more","single_cat","no"
36,8,"Pinky",2016,12,30,"female",0.66,6,NA,NA,NA,NA
37,8,"Pinky",2016,12,30,"female",0.66,6,NA,NA,NA,NA
38,8,"Pinky",2016,12,30,"female",0.66,6,"indoor","two_or_more","single_cat","no"
39,8,"Pinky",2016,12,30,"male",0.66,6,"indoor","two_or_more","multi_cat","no"
40,8,"Pinky",2016,12,30,"female",0.66,6,NA,NA,NA,NA
41,8,"Pinky",2016,12,30,"male",0.66,6,"indoor","two_or_more","single_cat","no"
42,9,"Pulchi",2017,2,11,"female",1,3,NA,NA,NA,NA
43,9,"Pulchi",2017,2,11,"female",1,3,"indoor_outdoor","one","multi_cat","no"
44,9,"Pulchi",2017,2,11,"female",1,3,"indoor","two_or_more","multi_cat","yes"
45,10,"Zumba",2017,2,12,"male",0.5,2,"indoor","two_or_more","single_cat","yes"
46,10,"Zumba",2017,2,12,"female",0.5,2,NA,NA,NA,NA
47,11,"Ivy",2017,5,1,"male",0.5,4,NA,NA,NA,NA
48,11,"Ivy",2017,5,1,"male",0.5,4,"indoor","two_or_more","multi_cat","no"
49,11,"Ivy",2017,5,1,"female",0.5,4,"indoor","two_or_more","single_cat","yes"
50,11,"Ivy",2017,5,1,"female",0.5,4,NA,NA,NA,NA
51,13,"Zumba",2017,6,1,"male",0.4,5,NA,NA,NA,NA
52,13,"Zumba",2017,6,1,"male",0.4,5,NA,NA,NA,NA
53,13,"Zumba",2017,6,1,"female",0.4,5,"indoor","two_or_more","multi_cat","no"
54,13,"Zumba",2017,6,1,"male",0.4,5,NA,NA,NA,NA
55,13,"Zumba",2017,6,1,"female",0.4,5,NA,NA,NA,NA
56,12,"Pulchi",2017,6,3,"female",0.75,5,NA,NA,NA,NA
57,12,"Pulchi",2017,6,3,"male",0.75,5,NA,NA,NA,NA
58,12,"Pulchi",2017,6,3,"female",0.75,5,NA,NA,NA,NA
59,12,"Pulchi",2017,6,3,"female",0.75,5,"indoor","two_or_more","single_cat","no"
60,12,"Pulchi",2017,6,3,"female",0.75,5,"indoor","two_or_more","single_cat","yes"
61,14,"Ivy",2017,9,13,"female",0.6,5,"indoor_outdoor","two_or_more","single_cat","yes"
62,14,"Ivy",2017,9,13,"male",0.6,5,NA,NA,NA,NA
63,14,"Ivy",2017,9,13,"female",0.6,5,"indoor","one","single_cat","no"
64,14,"Ivy",2017,9,13,"female",0.6,5,"indoor_outdoor","two_or_more","single_cat","yes"
65,14,"Ivy",2017,9,13,"male",0.6,5,"indoor","two_or_more","single_cat","yes"
66,15,"Lillith",2017,10,3,"male",0.4,5,"indoor","two_or_more","multi_cat","yes"
67,15,"Lillith",2017,10,3,"female",0.4,5,NA,NA,NA,NA
68,15,"Lillith",2017,10,3,"female",0.4,5,"indoor_outdoor","two_or_more","single_cat","yes"
69,15,"Lillith",2017,10,3,"male",0.4,5,"indoor_outdoor","two_or_more","single_cat","no"
70,15,"Lillith",2017,10,3,"male",0.4,5,NA,NA,NA,NA
71,16,"Zumba",2017,10,8,"male",0.25,4,NA,NA,NA,NA
72,16,"Zumba",2017,10,8,"male",0.25,4,"indoor","two_or_more","multi_cat","no"
73,16,"Zumba",2017,10,8,"female",0.25,4,"indoor","two_or_more","multi_cat","no"
74,16,"Zumba",2017,10,8,"male",0.25,4,"indoor","two_or_more","single_cat","no"
